tokens,tags,polarities
"['conflicting', 'directions', 'from', 'two', 'staff']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['visible', 'dust', 'on', 'the', 'ledges']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['good', 'vibration', 'dampening', 'on', 'this', 'line']","[0, 1, 2, 0, 0, 0]","[-1, 2, 2, -1, -1, -1]"
"['uncomfortable', 'seat', 'pitch', 'made', 'it', 'cramped']","[0, 1, 2, 0, 0, 0]","[-1, 0, 0, -1, -1, -1]"
"['rude', 'counter', 'staff', 'this', 'morning']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['no', 'finger', 'smudges', 'on', 'any', 'glass']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['some', 'dried', 'liquid', 'on', 'platform']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['escalator', 'moved', 'smoothly', 'and', 'quietly']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['guards', 'were', 'always', 'patrolling', 'around']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['modern', 'and', 'accessible', 'station', 'design']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['received', 'very', 'poor', 'service', 'today']","[0, 0, 0, 1, 0]","[-1, -1, -1, 0, -1]"
"['staff', 'was', 'incredibly', 'polite', 'and', 'fast']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['useful', 'next', 'train', 'indicators', 'worked']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['ticketing', 'help', 'was', 'slow', 'and', 'confusing']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['some', 'areas', 'were', 'too', 'dark']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['nothing', 'unusual', 'about', 'comfort']","[0, 0, 0, 1]","[-1, -1, -1, 1]"
"['aircond', 'blasted', 'cold', 'air', 'directly']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['too', 'bright', 'lighting', 'for', 'evening']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['no', 'cobwebs', 'or', 'dust', 'in', 'corners']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['fire', 'safety', 'equipment', 'looked', 'new']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['comfortable', 'headrests', 'were', 'a', 'nice', 'touch']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['no', 'visible', 'dirt', 'on', 'the', 'steps']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['trains', 'are', 'always', 'very', 'clean']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['impressed', 'by', 'the', 'spotless', 'toilets']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['windows', 'were', 'too', 'cloudy', 'to', 'enjoy', 'view']","[1, 0, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1, -1]"
"['gentle', 'rocking', 'motion', 'was', 'quite', 'nice']","[0, 0, 1, 0, 0, 0]","[-1, -1, 2, -1, -1, -1]"
"['air', 'inside', 'cabin', 'felt', 'very', 'circulated']","[1, 0, 1, 0, 0, 0]","[2, -1, 2, -1, -1, -1]"
"['the', 'station', 'is', 'always', 'spotless']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['people', 'ignored', 'safety', 'yellow', 'lines']","[1, 0, 0, 1, 2]","[0, -1, -1, 0, 0]"
"['waited', 'ages', 'for', 'any', 'assistance']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['train', 'door', 'sensors', 'were', 'not', 'working']","[1, 2, 2, 0, 0, 0]","[0, 0, 0, -1, -1, -1]"
"['felt', 'completely', 'unseen', 'by', 'staff']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['old', 'gum', 'stains', 'on', 'pavement']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['cctv', 'system', 'seemed', 'state', 'of', 'the', 'art']","[1, 2, 0, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1, -1]"
"['staff', 'were', 'very', 'helpful', 'today']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['impeccable', 'train', 'interior', 'was', 'noted']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['no', 'mud', 'on', 'the', 'walkways']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['guards', 'were', 'quick', 'to', 'address', 'issues']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['no', 'unpleasant', 'smells', 'on', 'train']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['clean', 'and', 'uncluttered', 'platform', 'area']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['station', 'was', 'easy', 'to', 'navigate']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['escalator', 'handrail', 'was', 'moving', 'erratically']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'sheltered', 'waiting', 'spot', 'outside']","[0, 1, 2, 2, 0]","[-1, 0, 0, 0, -1]"
"['bumpy', 'journey', 'made', 'me', 'sick']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['very', 'quiet', 'operation', 'of', 'the', 'train']","[0, 0, 1, 2, 0, 2]","[-1, -1, 2, 2, -1, 2]"
"['clearly', 'audible', 'safety', 'warnings', 'played']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['staff', 'were', 'busy', 'on', 'personal', 'calls']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['standing', 'was', 'okay', 'for', 'a', 'few', 'stops']","[0, 0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, -1, 1]"
"['modern', 'and', 'spacious', 'lift', 'interiors']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['platform', 'had', 'some', 'cracked', 'uneven', 'tiles']","[1, 0, 0, 0, 0, 1]","[0, -1, -1, -1, -1, 0]"
"['impressed', 'by', 'the', 'general', 'cleanliness']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['top', 'marks', 'for', 'station', 'cleanliness']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['good', 'use', 'of', 'warning', 'tape', 'everywhere']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['clean', 'and', 'functional', 'station', 'layout']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['multilingual', 'service', 'was', 'available', 'sometimes']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['excellent', 'ramp', 'access', 'for', 'strollers']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['some', 'poorly', 'lit', 'areas', 'near', 'tracks']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['train', 'doors', 'sometimes', 'jammed', 'slightly']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['top', 'marks', 'for', 'station', 'cleanliness']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['no', 'stains', 'on', 'any', 'upholstery']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['good', 'quality', 'upholstery', 'on', 'seats']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['modern', 'ticketing', 'machines', 'are', 'fast']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['no', 'dedicated', 'luggage', 'racks', 'on', 'train']","[0, 1, 2, 2, 0, 0]","[-1, 0, 0, 0, -1, -1]"
"['windows', 'seemed', 'fine', 'not', 'too', 'clean', 'or', 'dirty']","[1, 0, 0, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1, -1, -1]"
"['maps', 'were', 'current', 'and', 'easy', 'to', 'read']","[1, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1]"
"['waiting', 'zones', 'had', 'comfortable', 'seating']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['difficult', 'to', 'get', 'clear', 'answers']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['lost', 'and', 'found', 'was', 'not', 'easy', 'to', 'find']","[1, 2, 2, 0, 0, 0, 0, 0]","[0, 0, 0, -1, -1, -1, -1, -1]"
"['convenient', 'shops', 'located', 'in', 'station']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['trash', 'was', 'not', 'managed', 'well', 'outside']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['signage', 'for', 'service', 'desk', 'misleading']","[1, 0, 1, 2, 0]","[0, -1, 0, 0, -1]"
"['some', 'payment', 'options', 'not', 'working']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['service', 'was', 'highly', 'satisfactory']","[1, 0, 0, 0]","[2, -1, -1, -1]"
"['overall', 'service', 'was', 'highly', 'satisfactory']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['seats', 'had', 'average', 'padding']","[1, 0, 0, 0]","[1, -1, -1, -1]"
"['staff', 'seemed', 'very', 'happy', 'to', 'assist']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['dust', 'coated', 'many', 'window', 'sills']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['useful', 'interactive', 'maps', 'were', 'available']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['top', 'tier', 'station', 'cleanliness', 'always']","[0, 0, 2, 2, 0]","[-1, -1, 2, 2, -1]"
"['exceptional', 'service', 'that', 'brightened', 'my', 'mood']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['restful', 'and', 'undisturbed', 'journey', 'to', 'town']","[0, 0, 0, 1, 0, 0]","[-1, -1, -1, 2, -1, -1]"
"['no', 'drinking', 'fountains', 'could', 'be', 'found']","[0, 1, 2, 0, 0, 0]","[-1, 0, 0, -1, -1, -1]"
"['emergency', 'exits', 'were', 'well', 'illuminated']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['smelled', 'faintly', 'of', 'wet', 'clothes']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['surfaces', 'felt', 'tacky', 'to', 'touch']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['station', 'safety', 'protocols', 'were', 'excellent']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['pleasant', 'and', 'quiet', 'atmosphere', 'onboard']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['no', 'dust', 'on', 'any', 'fixtures']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['overall', 'a', 'very', 'placid', 'journey']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['impeccable', 'condition', 'of', 'the', 'flooring']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['uncomfortable', 'pressure', 'points', 'from', 'seat']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['more', 'space', 'between', 'seats', 'needed']","[0, 1, 0, 1, 0]","[-1, 0, -1, 0, -1]"
"['escalator', 'jerked', 'to', 'a', 'halt']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['no', 'dust', 'bunnies', 'seen', 'anywhere']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['nothing', 'special', 'but', 'functional', 'setup']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 1]"
"['overall', 'station', 'hygiene', 'was', 'great']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['station', 'hygiene', 'was', 'great']","[1, 2, 0, 0]","[2, 2, -1, -1]"
"['info', 'screens', 'showed', 'wrong', 'times']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['fire', 'escape', 'routes', 'were', 'well', 'signed']","[1, 2, 2, 0, 0, 0]","[2, 2, 2, -1, -1, -1]"
"['modern', 'and', 'well-kept', 'station', 'features']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['well', 'designed', 'seat', 'contours', 'noted']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['courteous', 'treatment', 'from', 'every', 'employee']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['pristine', 'tracks', 'were', 'surprisingly', 'clean']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['braille', 'signage', 'for', 'safety', 'was', 'excellent']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['staff', 'were', 'always', 'smiling', 'politely']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['clear', 'announcements', 'for', 'every', 'stop']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['dimly', 'lit', 'walkway', 'to', 'exit']","[0, 0, 1, 0, 1]","[-1, -1, 0, -1, 0]"
"['stairs', 'were', 'the', 'only', 'option', 'sometimes']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['turnstiles', 'were', 'slow', 'to', 'respond']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['ride', 'smoothness', 'was', 'fairly', 'typical']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['helpline', 'operator', 'was', 'not', 'listening']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'major', 'marks', 'on', 'most', 'doors']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 1]"
"['high', 'quality', 'seat', 'fabric', 'used']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['restroom', 'facilities', 'were', 'average']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['overall', 'okay', 'service']","[1, 0, 2]","[1, -1, 1]"
"['okay', 'service']","[0, 1]","[-1, 1]"
"['pristine', 'condition', 'of', 'all', 'handrails']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['restroom', 'facilities', 'were', 'average']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['toilets', 'were', 'maintained', 'to', 'high', 'standard']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['strong', 'floral', 'air', 'freshener', 'smell', 'used']","[0, 0, 1, 2, 0, 0]","[-1, -1, 1, 1, -1, -1]"
"['stairs', 'are', 'too', 'steep', 'sometimes']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['emergency', 'information', 'was', 'not', 'prominently', 'displayed']","[1, 2, 0, 0, 0, 1]","[0, 0, -1, -1, -1, 0]"
"['loose', 'handrail', 'on', 'a', 'busy', 'stairwell']","[0, 1, 0, 0, 0, 1]","[-1, 0, -1, -1, -1, 0]"
"['station', 'had', 'some', 'sticky', 'floors']","[1, 0, 0, 1, 2]","[0, -1, -1, 0, 0]"
"['excellent', 'job', 'by', 'the', 'cleaners']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['station', 'floor', 'looked', 'average', 'overall']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['some', 'graffiti', 'on', 'the', 'wall']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['impressed', 'by', 'the', 'general', 'lack', 'of', 'mess']","[0, 0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, -1, 2]"
"['digital', 'displays', 'were', 'crisp', 'clear']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['trash', 'receptacles', 'were', 'not', 'overflowing']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['station', 'maps', 'were', 'current', 'and', 'very', 'useful']","[1, 2, 0, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1, -1]"
"['overall', 'tidiness', 'was', 'below', 'my', 'expectation']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['tidiness', 'was', 'below', 'my', 'expectation']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['guards', 'were', 'always', 'alert', 'and', 'professional']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['loose', 'tiles', 'on', 'the', 'station', 'floor']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['no', 'visible', 'cobwebs', 'in', 'corners']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['station', 'floor', 'condition', 'was', 'just', 'average']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['dim', 'corridors', 'raised', 'safety', 'concerns']","[0, 1, 0, 1, 2]","[-1, 0, -1, 0, 0]"
"['very', 'bumpy', 'and', 'unsettling', 'ride']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['felt', 'all', 'the', 'track', 'imperfections']","[0, 0, 0, 1, 0]","[-1, -1, -1, 0, -1]"
"['train', 'interior', 'felt', 'rather', 'cramped']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['old', 'chewing', 'gum', 'stuck', 'to', 'floor']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['clear', 'signage', 'for', 'restricted', 'areas']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['ticket', 'machines', 'were', 'all', 'functional']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['comfortable', 'and', 'efficient', 'travel', 'today']","[0, 0, 0, 1, 0]","[-1, -1, -1, 2, -1]"
"['seats', 'could', 'use', 'more', 'padding']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['generally', 'neglected', 'appearance', 'of', 'carriage']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['all', 'safety', 'signs', 'were', 'legible']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['loose', 'wiring', 'seen', 'near', 'a', 'socket']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['automated', 'system', 'was', 'very', 'frustrating']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['waiting', 'seats', 'were', 'dirty', 'uncomfortable']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['safety', 'awareness', 'posters', 'were', 'displayed']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['no', 'personnel', 'at', 'the', 'counter']","[0, 1, 0, 0, 2]","[-1, 0, -1, -1, 0]"
"['toilets', 'were', 'typical']","[1, 0, 0]","[1, -1, -1]"
"['felt', 'quite', 'secure', 'even', 'when', 'alone']","[0, 0, 1, 0, 0, 0]","[-1, -1, 2, -1, -1, -1]"
"['well', 'designed', 'seats', 'for', 'long', 'journeys']","[0, 1, 2, 0, 0, 0]","[-1, 2, 2, -1, -1, -1]"
"['abrupt', 'train', 'starts', 'were', 'annoying']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['no', 'staff', 'at', 'information', 'desk']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['staff', 'seemed', 'genuinely', 'invested', 'in', 'helping']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['toilet', 'area', 'was', 'quite', 'unhygienic']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['smooth', 'journey', 'with', 'no', 'bumps']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['perfect', 'temperature', 'inside', 'the', 'train']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['ample', 'overhead', 'space', 'for', 'small', 'bags']","[0, 1, 2, 0, 0, 0]","[-1, 2, 2, -1, -1, -1]"
"['train', 'was', 'acceptably', 'clean', 'this', 'time']","[1, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1]"
"['vending', 'machines', 'were', 'mostly', 'empty']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['train', 'schedule', 'was', 'completely', 'wrong']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['clear', 'instructions', 'for', 'disabled', 'passenger', 'safety']","[0, 1, 0, 1, 2, 2]","[-1, 2, -1, 2, 2, 2]"
"['clear', 'platform', 'edge', 'markings', 'helped']","[1, 2, 2, 2, 0]","[2, 2, 2, 2, -1]"
"['information', 'desk', 'was', 'okay']","[1, 0, 0, 0]","[1, -1, -1, -1]"
"['carriage', 'needed', 'a', 'much', 'better', 'scrub']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['very', 'unsteady', 'and', 'shaky', 'journey']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['uneven', 'walkway', 'surface', 'was', 'a', 'problem']","[0, 1, 2, 0, 0, 0]","[-1, 0, 0, -1, -1, -1]"
"['excellent', 'standard', 'of', 'public', 'toilet', 'cleanliness']","[0, 0, 0, 1, 2, 2]","[-1, -1, -1, 2, 2, 2]"
"['excellent', 'standard', 'of', 'toilet', 'cleanliness']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['timely', 'and', 'accurate', 'service', 'information']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['enjoyable', 'journey', 'thanks', 'to', 'seat', 'comfort']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['aircond', 'setting', 'felt', 'optimally', 'cool']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['guards', 'maintained', 'a', 'strong', 'presence']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['really', 'comfortable', 'new', 'seats', '!']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['carriage', 'hygiene', 'was', 'subpar']","[1, 2, 0, 0]","[0, 0, -1, -1]"
"['overall', 'carriage', 'hygiene', 'was', 'subpar']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['clear', 'instructions', 'for', 'emergency', 'brake', 'use']","[1, 2, 0, 1, 2, 0]","[2, 2, -1, 2, 2, -1]"
"['broken', 'ticket', 'validator', 'caused', 'hassle']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['aisles', 'blocked', 'by', 'large', 'bags']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['attentive', 'and', 'very', 'responsive', 'station', 'guards']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['some', 'trash', 'missed', 'by', 'cleaners']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['clean', 'and', 'well', 'organized', 'platform', 'areas']","[0, 0, 0, 0, 1, 2]","[2, -1, -1, -1, 2, 2]"
"['overcrowded', 'trains', 'are', 'not', 'comfy']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['lighting', 'in', 'toilets', 'was', 'too', 'dim']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['safety', 'barriers', 'on', 'platforms', 'good']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['no', 'visible', 'first', 'aid', 'station']","[0, 0, 2, 2, 2]","[-1, -1, 0, 0, 0]"
"['unacceptable', 'wait', 'for', 'customer', 'support']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['a', 'very', 'dirty', 'looking', 'train', 'carriage']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['smooth', 'acceleration', 'made', 'journey', 'pleasant']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['station', 'looked', 'unclean', 'and', 'neglected']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['seat', 'surfaces', 'were', 'clean', 'and', 'dry']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['too', 'much', 'light', 'reflecting', 'off', 'surfaces']","[0, 0, 1, 0, 0, 0]","[-1, -1, 0, -1, -1, -1]"
"['refund', 'process', 'was', 'overly', 'bureaucratic']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['help', 'desk', 'was', 'closed', 'early']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['felt', 'quite', 'secure', 'with', 'many', 'guards']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['generally', 'acceptable', 'level', 'of', 'tidiness']","[0, 0, 1, 2, 2]","[-1, -1, 1, 1, 1]"
"['vending', 'machines', 'rarely', 'stocked', 'well']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['well', 'shaped', 'seats', 'provided', 'comfort']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['overall', 'safety', 'standards', 'are', 'high']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['safety', 'standards', 'are', 'high']","[1, 2, 0, 0]","[2, 2, -1, -1]"
"['wifi', 'connection', 'kept', 'dropping', 'out']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'trash', 'seen', 'on', 'platform']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['clearly', 'marked', 'accessible', 'evacuation', 'paths']","[0, 0, 1, 2, 2]","[-1, -1, 2, 2, 2]"
"['lack', 'of', 'assistance', 'for', 'disabled']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['found', 'some', 'dust', 'under', 'the', 'seats']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 1]"
"['hard', 'plastic', 'seats', 'uncomfortable', '.']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['train', 'carriage', 'had', 'a', 'mild', 'smell']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['public', 'wifi', 'was', 'surprisingly', 'speedy']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['stuffy', 'air', 'in', 'the', 'carriage']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['well-designed', 'platform', 'layout', 'is', 'good']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['no', 'litter', 'was', 'found', 'here']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['station', 'evacuation', 'procedures', 'were', 'posted']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['no', 'power', 'outlets', 'for', 'passengers']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['seating', 'was', 'okay', 'nothing', 'great']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['felt', 'the', 'station', 'lacked', 'monitoring']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['smelled', 'strongly', 'of', 'bleach', 'today']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['emergency', 'protocols', 'were', 'well', 'explained']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['seat', 'surfaces', 'showed', 'some', 'signs', 'of', 'wear']","[1, 2, 0, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1, -1]"
"['superb', 'customer', 'interaction', 'skills', 'shown']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
